fold,SNNS_HMM_acc,Keras_HMM_acc,SNNS_PSSM_acc,Keras_PSSM_acc,SNNS_HMM_sov,Keras_HMM_sov,SNNS_PSSM_sov,Keras_PSSM_sov
1,82.48 ± 7.69,81.77 ± 8.03,81.03 ± 8.05,79.70 ± 8.50,80.10 ± 13.16,78.64 ± 12.94,78.62 ± 13.37,76.50 ± 14.27
2,82.81 ± 6.72,82.12 ± 7.39,81.46 ± 7.20,80.99 ± 6.96,80.56 ± 13.09,78.98 ± 12.98,79.56 ± 12.96,78.27 ± 12.85
3,82.10 ± 7.39,82.04 ± 7.74,81.49 ± 7.70,80.49 ± 7.91,80.82 ± 12.37,79.58 ± 12.77,80.44 ± 12.89,78.98 ± 12.39
4,82.29 ± 7.17,81.87 ± 7.27,81.35 ± 7.50,80.47 ± 7.38,78.78 ± 14.56,77.80 ± 14.20,78.66 ± 14.20,75.97 ± 13.80
5,81.61 ± 7.66,81.04 ± 7.93,79.56 ± 8.53,79.22 ± 8.23,79.69 ± 11.10,77.62 ± 11.93,77.32 ± 13.48,75.92 ± 12.44
6,82.06 ± 7.32,81.68 ± 7.28,80.81 ± 7.75,80.30 ± 7.33,79.98 ± 11.70,79.44 ± 11.41,78.86 ± 13.10,77.08 ± 12.43
7,82.69 ± 8.28,82.45 ± 6.91,81.36 ± 7.38,80.95 ± 7.13,80.70 ± 13.78,80.03 ± 12.63,79.22 ± 12.73,78.13 ± 12.64
