fold,SNNS_jpred_acc,Keras_jpred_acc,SNNS_HMM_acc,Keras_HMM_acc,SNNS_PSSM_acc,Keras_PSSM_acc
1,82.38 ± 6.59,81.40 ± 6.87,81.72 ± 6.72,81.11 ± 6.93,80.49 ± 7.52,79.68 ± 7.61
2,82.70 ± 7.26,82.20 ± 7.03,82.30 ± 7.82,81.63 ± 7.66,81.03 ± 7.45,80.67 ± 7.22
3,82.60 ± 7.74,82.01 ± 7.85,82.39 ± 7.98,81.79 ± 8.00,80.96 ± 7.72,80.16 ± 7.99
4,82.19 ± 7.16,81.81 ± 7.23,81.71 ± 7.27,81.09 ± 7.44,80.92 ± 7.43,79.92 ± 8.00
5,83.20 ± 7.13,83.05 ± 7.11,82.90 ± 7.17,82.84 ± 7.40,81.66 ± 7.58,81.23 ± 7.50
6,82.67 ± 6.94,81.92 ± 7.17,82.49 ± 7.05,81.77 ± 6.96,80.64 ± 8.01,80.32 ± 7.96
7,83.15 ± 7.19,82.52 ± 8.00,82.79 ± 7.29,82.22 ± 8.16,81.48 ± 7.98,80.59 ± 8.20
combined,82.69 ± 7.14,82.13 ± 7.33,82.32 ± 7.34,81.78 ± 7.52,81.02 ± 7.66,80.37 ± 7.79
