fold,SNNS_HMM_acc,Keras_HMM_acc,SNNS_PSSM_acc,Keras_PSSM_acc,SNNS_HMM_sov,Keras_HMM_sov,SNNS_PSSM_sov,Keras_PSSM_sov
1,81.96 ± 6.24,81.87 ± 7.06,81.08 ± 6.82,80.39 ± 6.93,78.38 ± 13.88,78.22 ± 12.95,77.85 ± 13.64,75.99 ± 13.47
2,80.81 ± 8.44,81.26 ± 8.45,79.84 ± 8.51,79.95 ± 8.12,78.44 ± 12.06,77.54 ± 12.78,77.48 ± 12.79,75.58 ± 13.55
3,82.31 ± 6.20,82.38 ± 6.44,80.29 ± 7.42,80.64 ± 7.25,82.19 ± 10.75,81.15 ± 11.62,79.78 ± 12.24,78.35 ± 12.57
4,81.73 ± 7.66,82.05 ± 7.79,80.13 ± 7.86,80.34 ± 7.80,79.71 ± 12.33,78.40 ± 12.38,78.38 ± 12.05,76.79 ± 12.01
5,81.71 ± 8.36,82.21 ± 8.65,80.65 ± 8.75,80.44 ± 8.32,80.08 ± 13.55,80.47 ± 13.66,79.28 ± 13.20,77.33 ± 13.39
6,81.00 ± 7.43,80.87 ± 7.90,79.59 ± 8.10,79.60 ± 8.01,78.41 ± 12.87,77.72 ± 13.43,77.01 ± 14.12,75.24 ± 13.98
7,81.64 ± 6.87,82.02 ± 6.72,80.18 ± 7.63,80.45 ± 7.31,79.58 ± 11.74,79.09 ± 11.28,78.95 ± 12.18,77.20 ± 11.81
8,81.59 ± 7.36,81.81 ± 7.62,80.25 ± 7.89,80.26 ± 7.68,79.54 ± 12.53,78.94 ± 12.65,78.39 ± 12.92,76.64 ± 13.00
