fold,SNNS_jpred_acc,Keras_jpred_acc,SNNS_HMM_acc,Keras_HMM_acc,SNNS_PSSM_acc,Keras_PSSM_acc
1,82.35 ± 7.85,80.75 ± 8.19,81.88 ± 8.47,80.45 ± 8.67,80.64 ± 8.13,79.04 ± 8.45
2,82.78 ± 7.53,81.22 ± 7.97,82.11 ± 7.64,80.72 ± 8.31,81.46 ± 7.70,79.81 ± 8.25
3,83.00 ± 5.93,81.79 ± 6.40,82.75 ± 6.05,81.48 ± 6.40,81.08 ± 6.95,79.74 ± 7.31
4,82.50 ± 7.75,80.82 ± 7.66,81.92 ± 7.54,80.69 ± 7.61,81.14 ± 7.99,79.15 ± 8.15
5,82.85 ± 6.55,81.49 ± 6.49,82.61 ± 7.08,81.30 ± 7.39,80.91 ± 7.25,79.57 ± 7.03
6,82.58 ± 6.99,81.46 ± 7.18,82.29 ± 7.30,81.23 ± 7.43,80.93 ± 7.72,79.42 ± 7.66
7,82.63 ± 7.97,81.29 ± 7.96,82.48 ± 7.90,81.24 ± 7.99,80.97 ± 8.40,79.64 ± 8.40
combined,82.67 ± 7.24,81.26 ± 7.43,82.29 ± 7.45,81.02 ± 7.71,81.02 ± 7.73,79.48 ± 7.89
