fold,SNNS_HMM_acc,Keras_HMM_acc,SNNS_PSSM_acc,Keras_PSSM_acc,SNNS_HMM_sov,Keras_HMM_sov,SNNS_PSSM_sov,Keras_PSSM_sov
1,82.48 ± 7.69,81.78 ± 8.13,81.03 ± 8.05,79.59 ± 8.32,80.10 ± 13.16,78.63 ± 13.96,78.62 ± 13.37,76.99 ± 13.50
2,82.81 ± 6.72,81.91 ± 7.33,81.46 ± 7.20,80.75 ± 7.64,80.56 ± 13.09,79.16 ± 12.68,79.56 ± 12.96,78.62 ± 12.54
3,82.10 ± 7.39,81.61 ± 8.14,81.49 ± 7.70,80.23 ± 8.25,80.82 ± 12.37,80.28 ± 13.19,80.44 ± 12.89,79.36 ± 13.31
4,82.29 ± 7.17,81.73 ± 7.25,81.35 ± 7.50,80.28 ± 7.62,78.78 ± 14.56,78.06 ± 14.13,78.66 ± 14.20,77.10 ± 14.45
5,81.61 ± 7.66,80.83 ± 7.60,79.56 ± 8.53,78.86 ± 8.67,79.69 ± 11.10,78.15 ± 12.05,77.32 ± 13.48,76.48 ± 13.01
6,82.06 ± 7.32,81.47 ± 7.59,80.81 ± 7.75,79.80 ± 7.85,79.98 ± 11.70,79.82 ± 11.91,78.86 ± 13.10,77.24 ± 13.38
7,82.69 ± 8.28,82.33 ± 7.33,81.36 ± 7.38,80.56 ± 7.35,80.70 ± 13.78,80.12 ± 13.36,79.22 ± 12.73,78.31 ± 13.24
